2026-02-16 21:00:37 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Elara Encantada, generando aleatorios
2026-02-16 21:00:37 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Elara Encantada (Hechicero Nv.3, HP:20, AC:11)
2026-02-16 21:00:37 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Thorne Martillo de Hielo
2026-02-16 21:00:37 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Thorne Martillo de Hielo, generando aleatorios
2026-02-16 21:00:37 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Thorne Martillo de Hielo
2026-02-16 21:00:37 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Thorne Martillo de Hielo (Guerrero Nv.3, HP:25, AC:16)
2026-02-16 21:00:37 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Lyra Viento de Plata
2026-02-16 21:00:37 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Ladrona', usando 'Guerrero' por defecto
2026-02-16 21:00:37 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Lyra Viento de Plata, generando aleatorios
2026-02-16 21:00:37 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Lyra Viento de Plata (Guerrero Nv.3, HP:25, AC:16)
2026-02-16 21:00:37 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eamon Arcano
2026-02-16 21:00:37 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eamon Arcano, generando aleatorios
2026-02-16 21:00:37 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eamon Arcano (Clérigo Nv.3, HP:21, AC:14)
2026-02-16 21:09:59 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grifo de Hueso
2026-02-16 21:09:59 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Cavador de cráneos', usando 'Guerrero' por defecto
2026-02-16 21:09:59 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grifo de Hueso, generando aleatorios
2026-02-16 21:09:59 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Grifo de Hueso
2026-02-16 21:09:59 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grifo de Hueso (Guerrero Nv.3, HP:28, AC:16)
2026-02-16 21:09:59 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Elara la Luminosa
2026-02-16 21:09:59 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Elara la Luminosa, generando aleatorios
2026-02-16 21:09:59 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Elara la Luminosa (Mago Nv.3, HP:17, AC:12)
2026-02-16 21:09:59 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Bruma
2026-02-16 21:09:59 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Sacerdote de la bruma', usando 'Guerrero' por defecto
2026-02-16 21:09:59 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Bruma, generando aleatorios
2026-02-16 21:09:59 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Bruma (Guerrero Nv.3, HP:31, AC:16)
2026-02-16 21:09:59 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Zephyrus
2026-02-16 21:09:59 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Artillero de viento', usando 'Guerrero' por defecto
2026-02-16 21:09:59 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Zephyrus, generando aleatorios
2026-02-16 21:09:59 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Zephyrus (Guerrero Nv.3, HP:19, AC:16)
2026-02-16 21:22:33 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Lysandra de la Cristalería
2026-02-16 21:22:33 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Lysandra de la Cristalería, generando aleatorios
2026-02-16 21:22:33 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Lysandra de la Cristalería (Druida Nv.3, HP:21, AC:11)
2026-02-16 21:22:33 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eolande Viento de Hoja
2026-02-16 21:22:33 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eolande Viento de Hoja, generando aleatorios
2026-02-16 21:22:33 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eolande Viento de Hoja (Explorador Nv.3, HP:19, AC:11)
2026-02-16 21:22:33 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Golondrina Gris
2026-02-16 21:22:33 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Golondrina Gris, generando aleatorios
2026-02-16 21:22:33 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Golondrina Gris
2026-02-16 21:22:33 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Golondrina Gris (Clérigo Nv.3, HP:27, AC:14)
2026-02-16 21:22:33 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Melianta Corazón de Flor
2026-02-16 21:22:33 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Melianta Corazón de Flor, generando aleatorios
2026-02-16 21:22:33 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Melianta Corazón de Flor (Bardo Nv.3, HP:21, AC:11)
2026-02-16 21:31:00 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Aela Viento de Tormenta
2026-02-16 21:31:00 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Guerrera', usando 'Guerrero' por defecto
2026-02-16 21:31:00 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Aela Viento de Tormenta, generando aleatorios
2026-02-16 21:31:00 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Aela Viento de Tormenta (Guerrero Nv.3, HP:31, AC:16)
2026-02-16 21:31:00 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Kael'thas Canto del Bosque
2026-02-16 21:31:00 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Kael'thas Canto del Bosque, generando aleatorios
2026-02-16 21:31:00 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Kael'thas Canto del Bosque (Mago Nv.3, HP:14, AC:12)
2026-02-16 21:31:00 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grimgor Martillo de Hierro
2026-02-16 21:31:00 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grimgor Martillo de Hierro, generando aleatorios
2026-02-16 21:31:00 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Grimgor Martillo de Hierro
2026-02-16 21:31:00 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grimgor Martillo de Hierro (Clérigo Nv.3, HP:18, AC:14)
2026-02-16 21:31:00 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Lira Cantos del Crepúsculo
2026-02-16 21:31:00 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Lira Cantos del Crepúsculo, generando aleatorios
2026-02-16 21:31:00 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Lira Cantos del Crepúsculo (Bardo Nv.3, HP:21, AC:12)
2026-02-16 22:28:09 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Thora Valthor
2026-02-16 22:28:09 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Guerrera', usando 'Guerrero' por defecto
2026-02-16 22:28:09 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Thora Valthor, generando aleatorios
2026-02-16 22:28:09 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Thora Valthor (Guerrero Nv.3, HP:25, AC:16)
2026-02-16 22:28:09 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Eolande Silvyr
2026-02-16 22:28:09 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Maga', usando 'Guerrero' por defecto
2026-02-16 22:28:09 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Eolande Silvyr, generando aleatorios
2026-02-16 22:28:09 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Eolande Silvyr (Guerrero Nv.3, HP:22, AC:16)
2026-02-16 22:28:09 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Drago Darkheart
2026-02-16 22:28:09 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Rogues', usando 'Guerrero' por defecto
2026-02-16 22:28:09 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Drago Darkheart, generando aleatorios
2026-02-16 22:28:09 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Drago Darkheart (Guerrero Nv.3, HP:22, AC:16)
2026-02-16 22:28:09 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grom Thunderson
2026-02-16 22:28:09 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grom Thunderson, generando aleatorios
2026-02-16 22:28:09 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grom Thunderson (Guerrero Nv.3, HP:28, AC:16)
2026-02-16 22:31:52 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Aquilino el Temerario
2026-02-16 22:31:52 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Aquilino el Temerario, generando aleatorios
2026-02-16 22:31:52 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Aquilino el Temerario (Guerrero Nv.3, HP:28, AC:16)
2026-02-16 22:31:52 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Elara la Encantadora
2026-02-16 22:31:52 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Elara la Encantadora, generando aleatorios
2026-02-16 22:31:52 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Elara la Encantadora (Mago Nv.3, HP:14, AC:12)
2026-02-16 22:31:52 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Grom el Enano Forjador
2026-02-16 22:31:52 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Artillero', usando 'Guerrero' por defecto
2026-02-16 22:31:52 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Grom el Enano Forjador, generando aleatorios
2026-02-16 22:31:52 | INFO     | rules                | _generar_url_imagen_personaje | Usando estrategia especial de imagen para enano: Grom el Enano Forjador
2026-02-16 22:31:52 | INFO     | rules                | sanitizar_pj    | ✓ Personaje sanitizado: Grom el Enano Forjador (Guerrero Nv.3, HP:22, AC:16)
2026-02-16 22:31:52 | INFO     | rules                | sanitizar_pj    | Sanitizando personaje: Lysandra la Ladrona de Almas
2026-02-16 22:31:52 | WARNING  | rules                | sanitizar_pj    | Clase no reconocida 'Ladron', usando 'Guerrero' por defecto
2026-02-16 22:31:52 | WARNING  | rules                | sanitizar_pj    | Stats faltantes para Lysandra la Ladrona de Almas, generando aleatorios
