2026-02-19 16:54:44 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:54:54 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:55:05 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 16:55:10 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:55:36 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:55:44 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:56:56 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:57:19 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:57:40 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 16:57:42 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (launcher) — Total: 1
2026-02-19 16:59:00 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-19 16:59:00 | INFO     | websocket            | connect         | ✓ Cliente conectado - Sesión: default_session (dm) — Total: 1
2026-02-19 16:59:51 | INFO     | websocket            | disconnect      | ✗ Cliente desconectado - Sesión: default_session
2026-02-19 17:08:36 | INFO     | websocket            | __init__        | ConnectionManager multi-cliente inicializado
2026-02-19 17:08:41 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:09:08 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:09:18 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:09:18 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:09:27 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:09:38 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:09:48 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:09:57 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:10:08 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:10:08 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
2026-02-19 17:10:08 | WARNING  | websocket            | send_to_session | Intento de enviar a sesión no conectada: default_session
